word,num,valence,val.sd,arousal,arousal.sd,dominance,dominance.sd,freq
derelict,722,-0.72,1.84,-0.9,1.94,-0.22,1.56,1
deserter,109,-2.55,1.8,0.5,2.55,-1.23,2.29,.
desire,508,2.69,1.39,2.35,1.76,1.49,1.83,79
despairing,110,-2.57,1.47,0.68,2.37,-1.57,2.11,4
despise,111,-2.97,1.38,1.28,2.43,-0.28,2.8,7
destroy,112,-2.36,2.03,1.83,2.38,-0.06,2.86,48
destruction,723,-1.84,2.44,0.82,2.71,-1.07,2.29,38
detached,113,-1.14,1.88,-0.74,2.57,-1.37,2.15,12
detail,724,0.55,1.58,-0.9,2.24,0.21,1.6,72
detest,114,-2.83,1.3,1.06,2.39,0.83,2.6,1
devil,115,-2.79,1.99,1.07,2.61,0.35,2.75,25
devoted,116,2.41,1.37,0.23,2.21,1.18,2.36,51
diamond,117,2.92,1.2,0.53,2.96,0.54,2.28,8
dignified,118,2.1,1.26,-0.88,2.29,1.12,2.4,7
dinner,509,2.16,1.5,0.43,2.14,1.1,1.87,91
diploma,119,3,1.39,0.67,2.8,1.76,2.5,.
dirt,725,-0.83,1.77,-1.24,2.26,-0.17,1.82,43
dirty,590,-1.92,2.05,-0.12,2.29,-0.3,2.12,36
disappoint,120,-2.61,1.44,-0.08,2.64,-1.71,2.32,.
disaster,121,-3.27,1.13,1.33,2.7,-1.48,2.42,26
discomfort,726,-2.81,1.23,-0.83,2.44,-1.14,2.26,7
discouraged,122,-2,2.16,-0.47,2.11,-1.39,2.01,15
disdainful,123,-1.32,1.9,0.04,2.14,-0.45,1.92,2
disgusted,124,-2.55,1.41,0.42,2.59,-0.66,1.94,6
disloyal,125,-3.07,1.61,1.56,2.21,-1.21,2.75,2
displeased,126,-2.21,2.23,0.64,2.48,-0.81,2.19,7
distressed,127,-3.06,1.1,1.4,2.38,-1.24,2.41,4
disturb,727,-1.34,2,0.8,2.39,-0.45,1.9,10
diver,510,1.45,1.55,0.04,2.1,0.04,1.91,1
divorce,128,-2.78,1.88,1.33,2.71,-1.74,2.24,29
doctor,129,0.2,2.54,0.86,2.7,-0.11,2.75,100
dog,511,2.57,1.66,0.76,2.5,1.25,2.1,75
doll,728,1.09,1.96,-0.76,2.43,-0.39,2.07,10
dollar,729,2.47,1.72,1.07,2.67,1.33,2.42,46
door,130,0.13,1.44,-1.2,2.29,-0.31,1.72,312
dove,730,1.9,1.54,-1.21,2.28,0.48,1.7,4
